study_id,head_model,mean,P95,P99,volume_pct_above_75pct_of_P95,top1_region_number,top1_region_name,top1_region_value_P95,top2_region_number,top2_region_name,top2_region_value_P95,top3_region_number,top3_region_name,top3_region_value_P95,top4_region_number,top4_region_name,top4_region_value_P95,top5_region_number,top5_region_name,top5_region_value_P95
moeller2022,smoker_m,19.465099360564476,45.307296241239314,61.751941361055906,14.025081416321616,110,"Right Inferior Frontal Gyrus, pars triangularis",74.69820099506828,111,"Left Inferior Frontal Gyrus, pars opercularis",68.20134409338387,109,"Left Inferior Frontal Gyrus, pars triangularis",67.96706797863898,114,Right Precentral Gyrus,67.86301536596834,107,Left Middle Frontal Gyrus,67.4055454470492
mousa2025,smoker_m,7.286385482070612,20.661555914493643,38.606870667889346,8.9490295801308,107,Left Middle Frontal Gyrus,64.43845058409588,101,Left Frontal Pole,53.12356120290848,109,"Left Inferior Frontal Gyrus, pars triangularis",45.39979449555779,111,"Left Inferior Frontal Gyrus, pars opercularis",38.49394191851709,113,Left Precentral Gyrus,36.78304596930712
prikryl2014,smoker_m,10.018780037847085,28.40963938242875,53.084447168347374,8.9490295801308,107,Left Middle Frontal Gyrus,88.60286955313187,101,Left Frontal Pole,73.04489665399937,109,"Left Inferior Frontal Gyrus, pars triangularis",62.42471743139208,111,"Left Inferior Frontal Gyrus, pars opercularis",52.92917013796109,113,Left Precentral Gyrus,50.576688207797105
sheffer2013,smoker_m,10.018780037847085,28.40963938242875,53.084447168347374,8.9490295801308,107,Left Middle Frontal Gyrus,88.60286955313187,101,Left Frontal Pole,73.04489665399937,109,"Left Inferior Frontal Gyrus, pars triangularis",62.42471743139208,111,"Left Inferior Frontal Gyrus, pars opercularis",52.92917013796109,113,Left Precentral Gyrus,50.576688207797105
sheffer2018,smoker_m,10.018780037847085,28.40963938242875,53.084447168347374,8.9490295801308,107,Left Middle Frontal Gyrus,88.60286955313187,101,Left Frontal Pole,73.04489665399937,109,"Left Inferior Frontal Gyrus, pars triangularis",62.42471743139208,111,"Left Inferior Frontal Gyrus, pars opercularis",52.92917013796109,113,Left Precentral Gyrus,50.576688207797105
trojak2015,smoker_m,8.884779833558694,26.71747060363273,51.202592575984966,8.570613592957653,102,Right Frontal Pole,79.11368192507032,108,Right Middle Frontal Gyrus,69.55383371327787,110,"Right Inferior Frontal Gyrus, pars triangularis",60.73364038355251,114,Right Precentral Gyrus,51.8104935741948,112,"Right Inferior Frontal Gyrus, pars opercularis",47.296434464266795
wing2012_L,smoker_m,5.938869357412807,20.42924827721117,40.680261312605765,7.801340834570651,109,"Left Inferior Frontal Gyrus, pars triangularis",81.63576808915835,111,"Left Inferior Frontal Gyrus, pars opercularis",64.83106783266464,107,Left Middle Frontal Gyrus,61.63685386125429,101,Left Frontal Pole,57.6084464636755,181,Left Frontal Opercular Cortex,41.18222082418899
wing2012_R,smoker_m,5.964288167100494,20.10183406093312,40.554678302312645,7.90289490028433,110,"Right Inferior Frontal Gyrus, pars triangularis",90.71199495783553,102,Right Frontal Pole,58.04171587122308,112,"Right Inferior Frontal Gyrus, pars opercularis",53.47426834019885,114,Right Precentral Gyrus,44.167308641302554,108,Right Middle Frontal Gyrus,43.706483318223356
zangen2021,smoker_m,19.465099360564476,45.307296241239314,61.751941361055906,14.025081416321616,110,"Right Inferior Frontal Gyrus, pars triangularis",74.69820099506828,111,"Left Inferior Frontal Gyrus, pars opercularis",68.20134409338387,109,"Left Inferior Frontal Gyrus, pars triangularis",67.96706797863898,114,Right Precentral Gyrus,67.86301536596834,107,Left Middle Frontal Gyrus,67.4055454470492
zaremehrjardi2025,smoker_m,8.197183667329423,23.244250403805314,43.432729501375356,8.9490295801308,107,Left Middle Frontal Gyrus,72.4932569071078,101,Left Frontal Pole,59.76400635327201,109,"Left Inferior Frontal Gyrus, pars triangularis",51.07476880750248,111,"Left Inferior Frontal Gyrus, pars opercularis",43.30568465833153,113,Left Precentral Gyrus,41.38092671546966
