study_id,head_model,mean,P95,P99,volume_pct_above_75pct_of_P95,top1_region_number,top1_region_name,top1_region_value_P95,top2_region_number,top2_region_name,top2_region_value_P95,top3_region_number,top3_region_name,top3_region_value_P95,top4_region_number,top4_region_name,top4_region_value_P95,top5_region_number,top5_region_name,top5_region_value_P95
moeller2022,smoker_f,22.02568302576073,50.43677840315333,68.87505536700274,13.916424690242415,110,"Right Inferior Frontal Gyrus, pars triangularis",79.85208434550519,114,Right Precentral Gyrus,74.22013841738112,101,Left Frontal Pole,73.74334622009034,109,"Left Inferior Frontal Gyrus, pars triangularis",73.12036820502668,107,Left Middle Frontal Gyrus,72.82667418738802
mousa2025,smoker_f,8.384657043836793,23.247361667387427,45.181131025634876,9.247168085670783,107,Left Middle Frontal Gyrus,77.08850641440824,101,Left Frontal Pole,61.78553583107323,111,"Left Inferior Frontal Gyrus, pars opercularis",49.62419722006173,113,Left Precentral Gyrus,48.81967277898449,109,"Left Inferior Frontal Gyrus, pars triangularis",47.24308594020371
prikryl2014,smoker_f,11.528903435275602,31.965122292657835,62.12405516024736,9.247168085670783,107,Left Middle Frontal Gyrus,105.9966963198114,101,Left Frontal Pole,84.95511176772615,111,"Left Inferior Frontal Gyrus, pars opercularis",68.23327117758491,113,Left Precentral Gyrus,67.12705007110348,109,"Left Inferior Frontal Gyrus, pars triangularis",64.95924316777992
sheffer2013,smoker_f,11.528903435275602,31.965122292657835,62.12405516024736,9.247168085670783,107,Left Middle Frontal Gyrus,105.9966963198114,101,Left Frontal Pole,84.95511176772615,111,"Left Inferior Frontal Gyrus, pars opercularis",68.23327117758491,113,Left Precentral Gyrus,67.12705007110348,109,"Left Inferior Frontal Gyrus, pars triangularis",64.95924316777992
sheffer2018,smoker_f,11.528903435275602,31.965122292657835,62.12405516024736,9.247168085670783,107,Left Middle Frontal Gyrus,105.9966963198114,101,Left Frontal Pole,84.95511176772615,111,"Left Inferior Frontal Gyrus, pars opercularis",68.23327117758491,113,Left Precentral Gyrus,67.12705007110348,109,"Left Inferior Frontal Gyrus, pars triangularis",64.95924316777992
trojak2015,smoker_f,9.641872941365188,27.338935933214948,55.660511956992075,9.09963340824117,108,Right Middle Frontal Gyrus,89.94617989218486,102,Right Frontal Pole,86.5573851353649,110,"Right Inferior Frontal Gyrus, pars triangularis",68.0691967314761,112,"Right Inferior Frontal Gyrus, pars opercularis",61.313455313116414,114,Right Precentral Gyrus,60.69008190222952
wing2012_L,smoker_f,7.394919271801514,24.987593015407253,52.589606218460254,7.98476669453977,109,"Left Inferior Frontal Gyrus, pars triangularis",99.20174969511055,111,"Left Inferior Frontal Gyrus, pars opercularis",92.3660102388675,101,Left Frontal Pole,83.46747920600384,107,Left Middle Frontal Gyrus,68.34646386762371,113,Left Precentral Gyrus,57.92006049908973
wing2012_R,smoker_f,7.128134770294529,23.63366697779306,50.119362442125684,8.037842024707384,110,"Right Inferior Frontal Gyrus, pars triangularis",115.47775930398065,112,"Right Inferior Frontal Gyrus, pars opercularis",81.55306488616759,102,Right Frontal Pole,72.52675136030315,114,Right Precentral Gyrus,59.04246365902412,118,"Right Superior Temporal Gyrus, anterior division",58.12277187074485
zangen2021,smoker_f,22.02568302576073,50.43677840315333,68.87505536700274,13.916424690242415,110,"Right Inferior Frontal Gyrus, pars triangularis",79.85208434550519,114,Right Precentral Gyrus,74.22013841738112,101,Left Frontal Pole,73.74334622009034,109,"Left Inferior Frontal Gyrus, pars triangularis",73.12036820502668,107,Left Middle Frontal Gyrus,72.82667418738802
zaremehrjardi2025,smoker_f,9.432739174316405,26.153281875810848,50.82877240383875,9.247168085670783,107,Left Middle Frontal Gyrus,86.72456971620925,101,Left Frontal Pole,69.5087278099573,111,"Left Inferior Frontal Gyrus, pars opercularis",55.827221872569396,113,Left Precentral Gyrus,54.92213187635727,109,"Left Inferior Frontal Gyrus, pars triangularis",53.148471682729145
